text,favorited,created,statusSource,retweetCount,,,
"RT @MeidasTouch: Kevin McCarthy is whining that 5,000 Taliban prisoners were released in Afghanistan. Maybe he should take it up with the g…",FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/#!/download/ipad\"" rel=\""nofollow\"">Twitter for iPad</a>""",4783,,,
"RT @AmmadYousaf: \India should give ppl of IOJK their right of self determination. We the people of Afghanistan stand should to shoulder wi…""",FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",264,,,
"RT @BreitbartNews: In her endless quest to bolster the Democrat Party and trash Republicans, NeverTrump Leftist Liz Cheney is now blaming J…",FALSE,26-08-2021 03:02,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",67,,,
"RT @AqilShah_: For the millionth time, the Taliban do not constitute a Pashtun tribal rebellion or an Afghan nationalist uprising. They are…",FALSE,26-08-2021 03:02,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",37,,,
"RT @jakesNYT: At least 1,500 American citizens remain in Afghanistan just days left before the scheduled U.S. withdrawal, but officials ack…",FALSE,26-08-2021 03:02,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",71,,,
"RT @ChrisMurphyCT: Staying in Afghanistan past August may be necessary, but those who so casually advocate for it should be honest about th…",FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",781,,,
"Afghanistan live news: US, UK and Australia warn #citizens away from #Kabul airport amid #terror threat https://t.co/5UV9ve3E8O",FALSE,26-08-2021 03:01,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",0,,,
"RT @MeidasTouch: Kevin McCarthy is whining that 5,000 Taliban prisoners were released in Afghanistan. Maybe he should take it up with the g…",FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",4783,,,
"RT @Iraqveteran8888: Even if the Taliban killed every American who will likely get abandoned in Afghanistan, they still won’t kill as many…",FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",27,,,
"RT @filmervishal: Taliban is the original builder of Afghanistan. 

Razakars were original builders of Bangladesh.

Jaish e Muhammad is the…",FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",2,,,
"RT @AqilShah_: For the millionth time, the Taliban do not constitute a Pashtun tribal rebellion or an Afghan nationalist uprising. They are…",FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",37,,,
"RT @FrudBezhan: 250,000 Afghans have worked for U.S. military in #Afghanistan since 2001, advocacy groups estimate

But U.S. has evacuated…",FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",177,,,
RT @SortedEagle: India’s Chief of Defence Staff General Bipin Rawat said that India had anticipated Taliban’s takeover of Afghanistan but t…,FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",16,,,
